Date AD,Date BS,Stations,Minimun Temprature,Maximum Temprature,Rainfall
2012/1/21,2068-10-07,Bhairahawa,19.8,8.1,0
2012/1/21,2068-10-07,Simra,20.2,9.5,0
2012/1/21,2068-10-07,Kathmandu,17.9,2,0
2012/1/21,2068-10-07,Taplejung,13.2,1.3,0
2012/1/21,2068-10-07,Biratnagar,21,14.5,0
2012/1/21,2068-10-07,Jiri,15,-4.5,0.0*
2012/1/22,2068-10-08,Dadeldhura,12.9,2.5,0
2012/1/22,2068-10-08,Dipayal,19.5,2.5,0
2012/1/22,2068-10-08,Dhangadi,18.5,5,0
2012/1/22,2068-10-08,Birendranagar,21.7,,0
2012/1/22,2068-10-08,Nepalgunj,20.4,5.4,0
2012/1/22,2068-10-08,Jumla,,-8.4,
2012/1/22,2068-10-08,Dang,20.5,,0
2012/1/22,2068-10-08,Pokhara,,5.4,
2012/1/22,2068-10-08,Bhairahawa,19.4,6.6,0
2012/1/22,2068-10-08,Simra,20.5,5,0
2012/1/22,2068-10-08,Kathmandu,19.5,1,0
2012/1/22,2068-10-08,Okhaldhunga,14.6,,0
2012/1/22,2068-10-08,Taplejung,13,2.5,0
2012/1/22,2068-10-08,Dhankuta,18,5,0
2012/1/22,2068-10-08,Biratnagar,20.7,7.5,0
2012/1/22,2068-10-08,Jiri,14,-5.2,0.0*
2012/1/23,2068-10-09,Dadeldhura,14.5,4,0
2012/1/23,2068-10-09,Dipayal,25.2,4.4,0
2012/1/23,2068-10-09,Dhangadi,22.2,5.6,0
2012/1/23,2068-10-09,Birendranagar,22.5,3.8,0
2012/1/23,2068-10-09,Nepalgunj,21.58,5.4,0
2012/1/23,2068-10-09,Jumla,14,-3.8,0
2012/1/23,2068-10-09,Bhairahawa,21.4,7.5,0
2012/1/23,2068-10-09,Simra,21.5,6.4,0
2012/1/23,2068-10-09,Kathmandu,19.2,4.2,0
2012/1/23,2068-10-09,Taplejung,12.7,4,0
2012/1/23,2068-10-09,Biratnagar,22.7,6.4,0
2012/1/23,2068-10-09,Jiri,14.8,-3.2,0.0*
2012/1/24,2068-10-10,Dadeldhura,17.2,4.6,0
2012/1/24,2068-10-10,Dipayal,25.2,4.6,0
2012/1/24,2068-10-10,Dhangadi,23.4,4.6,0
2012/1/24,2068-10-10,Birendranagar,23.7,2.8,0
2012/1/24,2068-10-10,Nepalgunj,22.6,,0
2012/1/24,2068-10-10,Jumla,14.4,-7.5,0
2012/1/24,2068-10-10,Dang,21.5,4.8,0
2012/1/24,2068-10-10,Pokhara,18.9,6.8,0
2012/1/24,2068-10-10,Bhairahawa,21.2,5.8,0
2012/1/24,2068-10-10,Simra,22.5,5.8,0
2012/1/24,2068-10-10,Kathmandu,19.8,1.4,0
2012/1/24,2068-10-10,Okhaldhunga,12.8,2.5,0
2012/1/24,2068-10-10,Taplejung,14,4.2,0
2012/1/24,2068-10-10,Dhankuta,19.8,5.2,0
2012/1/24,2068-10-10,Biratnagar,22.4,7.2,0
2012/1/24,2068-10-10,Jiri,13,-4.2,0.0*
2012/1/25,2068-10-11,Dadeldhura,16.6,3.5,0
2012/1/25,2068-10-11,Dipayal,16,4,0
2012/1/25,2068-10-11,Dhangadi,22.2,4.6,0
2012/1/25,2068-10-11,Birendranagar,23.4,,0
2012/1/25,2068-10-11,Nepalgunj,23.6,4.4,0
2012/1/25,2068-10-11,Jumla,14.8,-6,0
2012/1/25,2068-10-11,Dang,,4.8,0
2012/1/25,2068-10-11,Pokhara,20,8.6,0
2012/1/25,2068-10-11,Bhairahawa,22,6.6,0
2012/1/25,2068-10-11,Simra,22.6,7,0
2012/1/25,2068-10-11,Kathmandu,20,3.8,0
2012/1/25,2068-10-11,Okhaldhunga,16.6,2.5,0
2012/1/25,2068-10-11,Taplejung,14.4,4.5,0
2012/1/25,2068-10-11,Dhankuta,21.4,,0
2012/1/25,2068-10-11,Biratnagar,23.9,6.7,0
2012/1/26,2068-10-12,Dadeldhura,15.8,4.6,0
2012/1/26,2068-10-12,Dipayal,27,4.5,0
2012/1/26,2068-10-12,Dhangadi,23.8,5.8,0
2012/1/26,2068-10-12,Birendranagar,24.1,4.5,0
2012/1/26,2068-10-12,Nepalgunj,24,5.8,0
2012/1/26,2068-10-12,Jumla,13.3,-5.7,0
2012/1/26,2068-10-12,Dang,23,5,0
2012/1/26,2068-10-12,Pokhara,20.8,8.2,0
2012/1/26,2068-10-12,Bhairahawa,22.8,6.6,0
2012/1/26,2068-10-12,Simra,23.5,7.5,0
2012/1/26,2068-10-12,Kathmandu,20.7,2.4,0
2012/1/26,2068-10-12,Okhaldhunga,17,4,0
2012/1/26,2068-10-12,Taplejung,13.7,4.5,0
2012/1/26,2068-10-12,Dhankuta,19.8,6.5,0
2012/1/26,2068-10-12,Biratnagar,22.1,8,0
2012/1/27,2068-10-13,Dadeldhura,15.5,2.4,0
2012/1/27,2068-10-13,Dipayal,24.9,4.8,0
2012/1/27,2068-10-13,Dhangadi,21.6,5,0
2012/1/27,2068-10-13,Birendranagar,23.7,4.8,0
2012/1/27,2068-10-13,Nepalgunj,22.5,4.6,0
2012/1/27,2068-10-13,Jumla,14.7,-4.5,0
2012/1/27,2068-10-13,Dang,22.5,6.6,0
2012/1/27,2068-10-13,Pokhara,20.5,8.5,0
2012/1/27,2068-10-13,Bhairahawa,24.8,8.4,0
2012/1/27,2068-10-13,Simra,,6.5,0
2012/1/27,2068-10-13,Kathmandu,20.8,2.7,0
